index,address,amount
0,0x28a13140FD796A0CD5A79bb464841E6C3aD7B2CC,23595
1,0xb6ac77EA83bC82Ddb49c9b4E418D28bd10EcbFc0,5075
2,0x61ECf13430925D295cD6A2d31255dA0CF877C5D5,3165
3,0x7263DD5419a58aE4280c0dca01BC2a695248b5B4,2400
4,0x4Ff17E61515Ed35B45Af9c7f2AC2e8c309eC5047,2005
5,0x2ee5D16AF896661020f3B4050Ba95b925d1C451C,1995
6,0xd7dBBE45b04B8fC6cEBCEE77705E28313EBcE660,1770
7,0x0982d99f633Dc496FfC1F54d58939B205ECEE64a,1610
8,0x177736c32c06aAf3cD5CEEE8e5d3f55773BDC4bB,1485
9,0x2bE0833310262cACFec78685750E35eEae7Ec8AD,1450
10,0xa74EAD19bf10733aBaeE080daA3ec33677c4C4b5,1395
11,0x6911d30CB341d2B4dce5A23e8EC5054c08c7595A,1275
12,0xDf3f1E268BE5C403622813aa97B9938b62031AC9,1105
13,0x4D7Cc598c5dEF4D0b77fA157caEBF7A98E65aaB5,945
14,0x1DAf59D2eaBcb6355ECEec0ce9Ba8d1F1E666012,910
15,0xA56b686eF814aFA3a2E4c7bFD231B143F18DF607,905
16,0xE97385BB29e848c670A1d33b67f9687D57B82E0E,855
17,0xe627e48EFEd431d489FFAE27023A8f61bFb68758,805
18,0xD57f3353a48F5d182D2AC3006123D5C464637C17,750
19,0x8b30A2a7e3aed90D1382B071240887ABD885e0EA,735
20,0x21128048F215fc6CEBeaf3c9fB2c5F0686364D81,725
21,0xbEd5e2326A85af7A3bC501aEbc2756C9D6C66249,720
22,0x0e10AD26f4EC08fC5bcD3B67587C7b9598e49B9F,680
23,0x8d1E2DD6349C2d213640B3193d44c148b85462B2,650
24,0x8fb7F652d5030B5c123C43B5fa379Ea3Be89082e,650
25,0x89FAd81cFe352334EE48414beDdb4cBED9102637,640
26,0x063C6E956c4021907584A44013b7c1aCefDF53C7,600
27,0x6394f4bB030e1C4c58a7cc4042C812A08903e587,590
28,0x9A0119CfdDC4D4f8F7fB400ccf21B9bc6b26B71B,585
29,0x2EcC100b527d5a223A0073C857E79aE89Bb1db29,575
30,0x8840F76CCa1703B1b19a4DF4919FF785c89c7Bb3,565
31,0xeDbA030cd459Ac819Ef560BdF976cd04C1D9c0AA,560
32,0x85F9DfEadd971984A562Dfd83cfCC36F818219Cd,555
33,0x54D6Dadff11fE1AfE70A8f410A22a9D1F25c1e08,550
34,0xb25E62dA0C2Ee163d4e406da9b7277D1AD32422B,535
35,0x44712595F5C42A935bb93De30482c6679AFAEa52,520
36,0x10C76E8821e564481E8C9d98dDBC663f9C8607bC,500
37,0x15Bfe6850bd979E7E3ce0798A3c065FBE36E3E9f,500
38,0x7f9a97340D7F80d417c2369cc35175f2186b7838,500
39,0xd8Ed79f0bcF5ACb5EEd6ff5a9438911E0DE5eD83,500
40,0x735a1aE6fDF43E6E20752e100B1178c13c5CC679,495
41,0x9617411B96b4B9424e4456fc023469cF39De0e02,485
42,0xc77798567fDfa29576C7C7b8f42Ad7db84953014,475
43,0x30825a8703368ceA2EEC87d3C87B9110a82afA22,470
44,0xaa2f7fC5465463ac62c07c0fFCF3A24f75d9c671,450
45,0x19C2c8382046E8BD8d598a41D8b90DA73D774903,440
46,0x984e946C8B2f139CFd7215267cC0f570C32FbA15,440
47,0xCC6CFf2d6D110392F5eF1C29d9334F53CB99CD3a,435
